filename,method,trainable_params,total_params,train_loss,eval_loss,eval_accuracy,train_runtime
mnli_lora_r1_4953539.out,lora_r1,629763,125277702,0.47072316004835174,0.38706082105636597,0.8505348955680081,5694.6937
mnli_lora_r4_4909658.out,lora_r4,740355,125388294,0.44623274872583807,0.36895477771759033,0.8638818135506877,5564.5996
mnli_bitfit_4954171.out,bitfit,102915,124647939,0.5165857582805158,0.41732320189476013,0.8444218033622007,4384.234
mnli_lora_r1_4954173.out,lora_r1,629763,125277702,0.47072316004835174,0.38706082105636597,0.8505348955680081,5735.3505
mnli_lora_r16_4954176.out,lora_r16,1182723,125830662,1.0998168764089513,1.0986560583114624,0.31818644931227713,5469.3512
mnli_full_ft_4954172.out,full,124647939,124647939,1.099729799385021,1.0982944965362549,0.3544574630667346,5943.3697
mnli_lora_r1_4954154.out,lora_r1,629763,125277702,0.47072316004835174,0.38706082105636597,0.8505348955680081,5684.2844
mnli_lora_r1_4912216.out,lora_r1,629763,125277702,0.488958991180032,0.3918814957141876,0.8511462047885889,5724.0252
mnli_lora_r4_4954174.out,lora_r4,740355,125388294,0.43478618843925354,0.3659030795097351,0.8640855832908813,5693.911
mnli_lora_r4_4954155.out,lora_r4,740355,125388294,0.43478618843925354,0.3659030795097351,0.8640855832908813,5436.7338
mnli_lora_r8_4954175.out,lora_r8,887811,125535750,0.4267063350042329,0.3605404794216156,0.8681609780947529,5487.5025
